zip,first_dose,second_dose,single_dose,at_least_one_dose,fully_vaccinated,date,type,city,county,state
20906,60741,54180,2545,63286,56725,2022-04-21,STANDARD,Silver Spring,Montgomery County,MD
20878,55376,50013,3461,58837,53474,2022-04-21,STANDARD,Gaithersburg,Montgomery County,MD
20874,49195,44444,3417,52612,47861,2022-04-21,STANDARD,Germantown,Montgomery County,MD
21234,45897,42635,3071,48968,45706,2022-04-21,STANDARD,Parkville,Baltimore County,MD
20904,47005,41831,1733,48738,43564,2022-04-21,STANDARD,Silver Spring,Montgomery County,MD
20854,44820,39475,2145,46965,41620,2022-04-21,STANDARD,Potomac,Montgomery County,MD
20850,43060,38546,2553,45613,41099,2022-04-21,STANDARD,Rockville,Montgomery County,MD
21122,40413,37454,3265,43678,40719,2022-04-21,STANDARD,Pasadena,Anne Arundel County,MD
20902,43582,38551,1961,45543,40512,2022-04-21,STANDARD,Silver Spring,Montgomery County,MD
21117,41668,38020,2433,44101,40453,2022-04-21,STANDARD,Owings Mills,Baltimore County,MD
21043,41207,38107,2162,43369,40269,2022-04-21,STANDARD,Ellicott City,Howard County,MD
21228,39221,36543,2573,41794,39116,2022-04-21,STANDARD,Catonsville,Baltimore County,MD
21042,38434,35544,2076,40510,37620,2022-04-21,STANDARD,Ellicott City,Howard County,MD
21224,37387,33111,3840,41227,36951,2022-04-21,STANDARD,Baltimore,Baltimore city,MD
20852,39309,34476,1927,41236,36403,2022-04-21,STANDARD,Rockville,Montgomery County,MD
21061,35791,32639,2693,38484,35332,2022-04-21,STANDARD,Glen Burnie,Anne Arundel County,MD
20774,37263,33091,1586,38849,34677,2022-04-21,STANDARD,Upper Marlboro,Prince George's County,MD
21044,35498,32687,1812,37310,34499,2022-04-21,STANDARD,Columbia,Howard County,MD
21222,33442,30458,3682,37124,34140,2022-04-21,STANDARD,Dundalk,Baltimore County,MD
21215,33953,30379,2108,36061,32487,2022-04-21,STANDARD,Baltimore,Baltimore city,MD
21740,30432,27560,4897,35329,32457,2022-04-21,STANDARD,Hagerstown,Washington County,MD
21093,32519,30347,1933,34452,32280,2022-04-21,STANDARD,Lutherville Timonium,Baltimore County,MD
20772,34575,30799,1451,36026,32250,2022-04-21,STANDARD,Upper Marlboro,Prince George's County,MD
21702,31684,28662,2604,34288,31266,2022-04-21,STANDARD,Frederick,Frederick County,MD
20910,34159,29492,1702,35861,31194,2022-04-21,STANDARD,Silver Spring,Montgomery County,MD
