bigram,n,percent
"NA NA",7778,0.6122910059032788
board game,4689,0.36912220708157295
favorite game,4259,0.33527222861173367
card game,3135,0.24678995930917705
2 player,3068,0.2415156603382951
player game,2847,0.22411834582240098
star star,2467,0.19420441136068253
worker placement,2428,0.19113429703434828
game play,2324,0.18294732549745693
favorite games,2221,0.17483907484072797
fun game,2118,0.16673082418399904
amazing game,2053,0.16161396697344194
excellent game,2016,0.1587012944074325
fantastic game,2006,0.15791408560580836
board games,1908,0.1501994393498915
4 players,1821,0.14335072277576122
base game,1587,0.12493003681775565
2 players,1543,0.1214663180906093
party game,1520,0.11965573784687372
deck building,1469,0.11564097295859044
perfect game,1450,0.11414527623550452
awesome game,1419,0.1117049289504696
highly recommend,1304,0.10265202773179166
player interaction,1277,0.10052656396740642
favourite game,1190,0.09367784739327614
